,Latitude,Longitude,GeoidHeight
8655,89.958333,0.666667,14.968
8656,89.958333,0.708333,14.968
8657,89.958333,0.75,14.968
8658,89.958333,0.791667,14.968
8659,89.958333,0.833333,14.968
8660,89.958333,0.875,14.968
8661,89.958333,0.916667,14.968
8662,89.958333,0.958333,14.968
8663,89.958333,1.0,14.968
8664,89.958333,1.041667,14.968
8665,89.958333,1.083333,14.968
8666,89.958333,1.125,14.968
8667,89.958333,1.166667,14.968
8668,89.958333,1.208333,14.968
8669,89.958333,1.25,14.968
8670,89.958333,1.291667,14.968
8671,89.958333,1.333333,14.968
8672,89.958333,1.375,14.968
8673,89.958333,1.416667,14.968
8674,89.958333,1.458333,14.968
8675,89.958333,1.5,14.968
8676,89.958333,1.541667,14.968
8677,89.958333,1.583333,14.968
8678,89.958333,1.625,14.968
8679,89.958333,1.666667,14.968
8680,89.958333,1.708333,14.968
8681,89.958333,1.75,14.968
8682,89.958333,1.791667,14.968
8683,89.958333,1.833333,14.968
8684,89.958333,1.875,14.968
8685,89.958333,1.916667,14.968
8686,89.958333,1.958333,14.968
8687,89.958333,2.0,14.968
8688,89.958333,2.041667,14.968
8689,89.958333,2.083333,14.968
8690,89.958333,2.125,14.968
8691,89.958333,2.166667,14.968
8692,89.958333,2.208333,14.968
8693,89.958333,2.25,14.968
8694,89.958333,2.291667,14.968
8695,89.958333,2.333333,14.968
8696,89.958333,2.375,14.968
8697,89.958333,2.416667,14.968
8698,89.958333,2.458333,14.968
8699,89.958333,2.5,14.968
8700,89.958333,2.541667,14.968
8701,89.958333,2.583333,14.968
8702,89.958333,2.625,14.968
8703,89.958333,2.666667,14.968
8704,89.958333,2.708333,14.968
8705,89.958333,2.75,14.968
8706,89.958333,2.791667,14.968
8707,89.958333,2.833333,14.968
8708,89.958333,2.875,14.968
8709,89.958333,2.916667,14.968
8710,89.958333,2.958333,14.968
8711,89.958333,3.0,14.968
8712,89.958333,3.041667,14.968
8713,89.958333,3.083333,14.968
8714,89.958333,3.125,14.968
8715,89.958333,3.166667,14.968
8716,89.958333,3.208333,14.968
8717,89.958333,3.25,14.968
8718,89.958333,3.291667,14.968
8719,89.958333,3.333333,14.967
8720,89.958333,3.375,14.967
8721,89.958333,3.416667,14.967
8722,89.958333,3.458333,14.967
8723,89.958333,3.5,14.967
8724,89.958333,3.541667,14.967
8725,89.958333,3.583333,14.967
8726,89.958333,3.625,14.967
8727,89.958333,3.666667,14.967
8728,89.958333,3.708333,14.967
8729,89.958333,3.75,14.967
8730,89.958333,3.791667,14.967
8731,89.958333,3.833333,14.967
8732,89.958333,3.875,14.967
8733,89.958333,3.916667,14.967
8734,89.958333,3.958333,14.967
8735,89.958333,4.0,14.967
8736,89.958333,4.041667,14.967
8737,89.958333,4.083333,14.967
8738,89.958333,4.125,14.967
8739,89.958333,4.166667,14.967
8740,89.958333,4.208333,14.967
8741,89.958333,4.25,14.967
8742,89.958333,4.291667,14.967
8743,89.958333,4.333333,14.967
8744,89.958333,4.375,14.967
8745,89.958333,4.416667,14.967
8746,89.958333,4.458333,14.967
8747,89.958333,4.5,14.967
8748,89.958333,4.541667,14.967
8749,89.958333,4.583333,14.967
8750,89.958333,4.625,14.967
8751,89.958333,4.666667,14.967
8752,89.958333,4.708333,14.967
8753,89.958333,4.75,14.967
8754,89.958333,4.791667,14.967
8755,89.958333,4.833333,14.967
8756,89.958333,4.875,14.967
8757,89.958333,4.916667,14.967
8758,89.958333,4.958333,14.967
8759,89.958333,5.0,14.967
8760,89.958333,5.041667,14.967
8761,89.958333,5.083333,14.967
8762,89.958333,5.125,14.967
8763,89.958333,5.166667,14.967
8764,89.958333,5.208333,14.967
