TimeUTC,DeviceId,Label,BytesHex,Status,ErrorMsg
2022-04-28T17:45:34.948658+00:00,3765234104222-M9N,M9 auto-config 3/5,b562068a0900000100006800912001b42d,applied,
2022-04-28T17:45:35.485950+00:00,3765234104222-M9N,M9 auto-config 4/5,b562068a0900000100008e03912001ddf7,applied,
2022-04-28T17:45:36.045322+00:00,3765234104222-M9N,M9 auto-config 5/5,b562068a090000010000b70191200104bc,applied,
2022-04-28T17:42:55.408483+00:00,3765234104222-M9N,M9 auto-config 1/5,b562068a09000001000009009120015552,applied,
2022-04-28T17:42:55.924010+00:00,3765234104222-M9N,M9 auto-config 2/5,b562068a09000001000048039120019799,applied,
2022-04-28T17:42:56.439518+00:00,3765234104222-M9N,M9 auto-config 3/5,b562068a0900000100006800912001b42d,applied,
2022-04-28T17:42:56.959754+00:00,3765234104222-M9N,M9 auto-config 4/5,b562068a0900000100008e03912001ddf7,applied,
2022-04-28T17:42:57.476496+00:00,3765234104222-M9N,M9 auto-config 5/5,b562068a090000010000b70191200104bc,applied,
2022-04-28T17:44:10.691205+00:00,3765234104222-M9N,M9 auto-config 1/5,b562068a09000001000009009120015552,applied,
2022-04-28T17:44:11.218116+00:00,3765234104222-M9N,M9 auto-config 2/5,b562068a09000001000048039120019799,applied,
2022-04-28T17:44:11.753368+00:00,3765234104222-M9N,M9 auto-config 3/5,b562068a0900000100006800912001b42d,applied,
2022-04-28T17:44:12.275784+00:00,3765234104222-M9N,M9 auto-config 4/5,b562068a0900000100008e03912001ddf7,applied,
2022-04-28T17:44:12.806638+00:00,3765234104222-M9N,M9 auto-config 5/5,b562068a090000010000b70191200104bc,applied,
2022-04-28T17:42:55.123397+00:00,3765234104222-M9N,M9 auto-config 1/5,b562068a09000001000009009120015552,applied,
2022-04-28T17:42:55.639695+00:00,3765234104222-M9N,M9 auto-config 2/5,b562068a09000001000048039120019799,applied,
2022-04-28T17:42:56.155327+00:00,3765234104222-M9N,M9 auto-config 3/5,b562068a0900000100006800912001b42d,applied,
2022-04-28T17:42:56.674347+00:00,3765234104222-M9N,M9 auto-config 4/5,b562068a0900000100008e03912001ddf7,applied,
2022-04-28T17:42:57.191701+00:00,3765234104222-M9N,M9 auto-config 5/5,b562068a090000010000b70191200104bc,applied,
2022-04-28T17:42:51.298693+00:00,3765234104222-M9N,M9 auto-config 1/5,b562068a09000001000009009120015552,applied,
2022-04-28T17:42:51.813034+00:00,3765234104222-M9N,M9 auto-config 2/5,b562068a09000001000048039120019799,applied,
2022-04-28T17:42:52.329073+00:00,3765234104222-M9N,M9 auto-config 3/5,b562068a0900000100006800912001b42d,applied,
2022-04-28T17:42:52.846540+00:00,3765234104222-M9N,M9 auto-config 4/5,b562068a0900000100008e03912001ddf7,applied,
2022-04-28T17:42:53.364627+00:00,3765234104222-M9N,M9 auto-config 5/5,b562068a090000010000b70191200104bc,applied,
